time_step,q1,q2,dq1,dq2,ddq1,ddq2,x,y,u1,u2,target_index
0.0,1.5635901059966661,0.009775965506452676,-0.7206220798230367,0.9775965506452675,-72.06220798230368,97.75965506452675,0.004636416549042682,1.9999707335111494,-153.20053955744473,-3.9092951383729786,0
0.01,1.5499343175840197,0.028301420141180502,-1.365578841264655,1.8525454634727825,-64.49567614416182,87.4948912827515,0.013421153662947164,1.9997547238883364,-137.01784193216764,-3.5073445197811064,0
0.02,1.5305421972604618,0.054608787718182325,-1.9392120323557882,2.6307367577001823,-57.36331910911333,77.81912942273996,0.025889093939442807,1.999086885588461,-121.65056771632187,-3.110516022907603,0
0.03,1.5060843388187015,0.08778834010534572,-2.445785844176029,3.3179552387163405,-50.657381182024075,68.72184810161583,0.041592528244062385,1.997640662686587,-107.05933812725664,-2.678128583297863,0
0.04,1.4771896053627678,0.12698696105971874,-2.889473345593365,3.9198620954373014,-44.36875014173364,60.1906856720961,0.060096039850678906,1.9950650204664888,-93.20343145926101,-2.1724727997592908,0
0.05,1.4444461580613577,0.17140675061980853,-3.2743447301410016,4.44197895600898,-38.487138454763624,52.21168605716785,0.08097291503536341,1.9910135549106571,-80.04880850811611,-1.5679478332092927,0
0.06,1.408402585535526,0.220303492977243,-3.604357252583169,4.8896742357434455,-33.00125224421675,44.76952797344655,0.10380352455226827,1.9851667876402121,-67.57192533296177,-0.8550439583809137,0
0.07,1.369569118170344,0.2729850091405005,-3.8833467365182037,5.268151616325747,-27.89894839350348,37.84773805823019,0.12817569300748116,1.977248544772181,-55.76059259681665,-0.04075626872440452,0
0.08,1.3284189127865726,0.32880941414818243,-4.115020538377144,5.5824405007681905,-23.16738018589403,31.428888444244304,0.1536867995797221,1.967037192223263,-44.6128531170777,0.8533535998514422,0
0.09,1.2853893942129897,0.3871832970908079,-4.3029518573583045,5.837388294262548,-18.793131898116062,25.494779349435763,0.17994719730756287,1.954372416056057,-34.134635794818806,1.7945056127166963,0
0.1,1.2408836413614441,0.44755984076016947,-4.4505752851545575,6.037654366936158,-14.762342779625309,20.0266072673609,0.20658447030483248,1.9391581853894169,-24.336781749629584,2.742726660399232,0
0.11,1.19527180642399,0.5094368963652467,-4.561183493745412,6.187705560507725,-11.060820859085505,15.005119357156733,0.23324804534231128,1.9213625052643988,-15.231907144956406,3.654989251753299,0
0.12,1.1488925567839054,0.5723550274344427,-4.637924964008455,6.291813106919597,-7.674147026304253,10.410754641187207,0.2596137168881952,1.9010145461853893,-6.831453313356635,4.489044780493478,0
0.13,1.1020545301596538,0.6358955357659996,-4.683802662425151,6.354050833155684,-4.587769841669598,6.2237726236086734,0.28538771676873287,1.8781997165350264,0.8568284441155836,5.206662270279289,0
0.14,1.0550377943827733,0.6996784810920234,-4.701673577688052,6.378294532602384,-1.7870915262900482,2.424369944669976,0.31031004766390163,1.8530532173011542,7.830804263181591,5.776100212171124,0
0.15,1.0080953040474112,0.7633607049864374,-4.694249033536222,6.368222389441402,0.7424544151829766,-1.0072143160982212,0.33415689279241934,1.8257525821399454,14.095228025268435,6.173741425279314,0
0.16,0.9614543470610922,0.8266338684729305,-4.664095698631894,6.327316348649311,3.0153334904327864,-4.090604079209113,0.3567420039031193,1.796509658926186,19.662356017267662,6.384905990541674,0
0.17,0.9153179748738438,0.8892225117748623,-4.61363721872484,6.258864330193182,5.045847990705455,-6.845201845612849,0.3779170499522321,1.7655624328175645,24.551962688725254,6.403922747778125,0
0.18,0.8698664108666951,0.9508821436941793,-4.545156400714866,6.1659631919317,6.848081800997335,-9.290113826148165,0.3975709756648763,1.7331670280309153,28.79085286399252,6.233584482209896,0
0.19,0.8252584320416719,1.0113973672095464,-4.460797882502316,6.0515223515367085,8.435851821255035,-11.444084039499195,0.4156284705489875,1.6995901592310236,32.41198792150692,5.884136370071998,0
0.2,0.7816327197746868,1.0705800470437818,-4.362571226698509,5.918267983423532,9.822665580380692,-13.325436811317617,0.4320476844702572,1.6651022370411426,35.45335077145339,5.371953734245139,0
0.21,0.7391091759712709,1.1282675241658273,-4.25235438034159,5.768747712204556,11.021684635691875,-14.952027121897627,0.44681734649104876,1.629971268791099,37.95666960699265,4.718057099193098,0
0.22,0.6977902015040843,1.1843208814612918,-4.131897446718655,5.6053357295464545,12.045693362293484,-16.341198265810142,0.4599534511002426,1.5944576377564577,39.966106607372936,3.946593974566815,0
0.23,0.6577619343118402,1.2386232641263561,-4.00282671922442,5.430238266506431,12.907072749423467,-17.509746304002352,0.47149567252885666,1.558809793638611,41.526998378547404,3.0833918549423442,0
0.24,0.6190954450030053,1.291078257710735,-3.8666489308834873,5.245499358437878,13.61777883409332,-18.473890806855334,0.48150365610163315,1.5232608449803462,42.684713002941336,2.1546593371022142,0
0.25,0.5818478882357829,1.3416083261545748,-3.72475567672223,5.053006844383991,14.189325416125735,-19.24925140538875,0.49005331804054325,1.488026011005069,43.48366667964786,1.1858850845332543,0
0.26,0.546063608539848,1.3901533116297105,-3.578427969593487,4.854498547513573,14.632770712874276,-19.850829687041863,0.49723326413084,1.45330086582663,43.966522954062555,0.2009598451074306,0
0.27,0.5117751996065515,1.4366689975056368,-3.428840893329651,4.651568587592628,14.9587076263836,-20.29299599209446,0.5031414151784888,1.4192602914654664,44.173580667008046,-0.7784737502367045,0
0.28,0.479004516404296,1.481125735312895,-3.27706832022555,4.445673780725815,15.177257310410063,-20.589480686681338,0.5078819048386396,1.3860580466795354,44.142343587827455,-1.7334546643227808,0
0.29,0.44776363977598865,1.5235071361693155,-3.1240876628307315,4.238140085642054,15.29806573948183,-20.753369508376117,0.5115622943869567,1.353826855150424,43.90725532354327,-2.647942308231837,0
0.3,0.41805579344737626,1.5638088267657002,-2.9707846328612413,4.0301690596384585,15.330302996949015,-20.79710260035954,0.5142911301676862,1.3226789178661564,43.49957724254905,-3.508889571908462,0
0.31,0.3898762136201323,1.6020372696750704,-2.817957982724394,3.8228442909370304,15.282665013684726,-20.73247687014281,0.5161758532765038,1.2927067594476762,42.9473843120593,-4.306181834668756,0
0.32,0.3632129715432562,1.6382086474515811,-2.6663242076876097,3.61713777765106,15.16337750367846,-20.57065132859704,0.5173210577347409,1.263984325600987,42.27565330663918,-5.032473858437857,0
0.33,0.33804774965209555,1.6723478097196354,-2.5165221891160656,3.4139162268054313,14.980201857154407,-20.32215508456287,0.5178270829783438,1.2365682578988801,41.5064191629958,-5.682954458757683,0
0.34,0.3143565720375346,1.7044872822187387,-2.3691177614560956,3.2139472499103383,14.740442765997006,-19.996897689509296,0.5177889187545195,1.2104992819160463,40.65897774064119,-6.2550654707186375,0
0.35000000000000003,0.29211049015998614,1.7346663365632906,-2.2246081877548423,3.0179054344552028,14.450957370125357,-19.604181545513537,0.5172953952208674,1.1858036547294382,39.75011638970599,-6.748197406476487,0
0.36,0.27127622485513675,1.7629301192970237,-2.0834265304849398,2.826378273373305,14.118165726990245,-19.152716108189775,0.516428627845327,1.1624946274751444,38.79435711908603,-7.163379835384028,0
0.37,0.2518167657922407,1.789328838667351,-1.945945906289603,2.6398719370327304,13.748062419533687,-18.65063363405745,0.5152636852563053,1.1405738876853135,37.80420049806405,-7.502980272866399,0
0.38,0.2336919296424172,1.8139170074137614,-1.8124836149823518,2.45881687464105,13.346229130725124,-18.105506239168065,0.5138684481403941,1.1200329542950036,36.79036150713503,-7.770421485440739,0
0.39,0.21685887829510805,1.8367527397549146,-1.683305134730914,2.283573234115332,12.917848025143781,-17.524364052571777,0.5123036283021244,1.10085450538892,35.76199125599899,-7.969923750198283,0
0.4,0.2012725985267984,1.8578971006696308,-1.5586279768309654,2.1144360914716094,12.46771578999487,-16.91371426437227,0.510622918792794,1.0830136249095061,34.726880751215376,-8.10627581046613,0
0.41000000000000003,0.18688634457842984,1.8774135054959797,-1.4386253948368568,1.951640482634901,12.000258199410863,-16.279560883670847,0.5088732483308149,1.0664789596867417,33.69164471420004,-8.184636048639108,0
0.42,0.1736520451377501,1.8953671678186665,-1.3234299440679749,1.7953662322686887,11.519545076888202,-15.627425036621213,0.50709511586408,1.051213782333755,32.661884846879516,-8.210363715328679,0
0.43,0.16152067625119368,1.9118245935764442,-1.213136888655641,1.6457425757777544,11.029305541233372,-14.962365649093432,0.5053229838968609,1.0371769588652247,31.64233296271526,-8.188878849604144,0
0.44,0.15044260170778107,1.9268531192970144,-1.1078074543412626,1.5028525720570247,10.532943431437856,-14.28900037207297,0.5035857119891312,1.0243238224371074,30.636975100709066,-8.125548724857174,0
0.45,0.14036788244591492,1.9405204923554953,-1.0074719261866156,1.366737305848083,10.0335528154647,-13.611526620894184,0.5019070145379985,1.0126069564820863,29.64915817805648,-8.025598182605624,0
0.46,0.13071703192290124,1.9534078064113856,-0.9650850523013679,1.2887314055890344,4.238687388524773,-7.800590025904859,0.5003892095750921,1.0014598632530356,17.550787672349347,-7.139917468955904,1
0.47000000000000003,0.12149591751746985,1.965528630794665,-0.9221114405431381,1.2120824383279456,4.297361175822975,-7.664896726108883,0.4990250559807204,0.9908843567409158,17.850222524008934,-6.988340602621129,1
0.48,0.1127076711898897,1.9768990103506783,-0.8788246327580156,1.137037955601326,4.328680778512247,-7.504448272661972,0.4978078216811035,0.980878877963614,18.087184893875197,-6.830704169516919,1
0.49,0.10435294736401354,1.9875371376643718,-0.8354723825876152,1.0638127313693615,4.335225017040033,-7.322522423196436,0.4967311454961418,0.971438851854534,18.26753501663671,-6.667771069510037,1
0.5,0.09643016740880038,1.9974630473234092,-0.7922779955213168,0.9925909659037468,4.319438706629836,-7.122176546561468,0.4957889235114181,0.962557028302687,18.396747618205406,-6.500353365715924,1
0.51,0.08893575083695997,2.006698331544961,-0.7494416571840418,0.9235284221551749,4.283633833727508,-6.906254374857189,0.49497521804093636,0.9542238058793979,18.479925601073262,-6.329294617510946,1
0.52,0.08186433339301423,2.0152658764516675,-0.707141744394574,0.8567544906706843,4.22999127894678,-6.677393148449057,0.49428418706581057,0.9464275371974749,18.521815437236448,-6.155453596351202,1
0.53,0.07520897225139343,2.0231896182504805,-0.6655361141620801,0.7923741798812896,4.160563023249389,-6.438031078939482,0.4937100319392037,0.9391548152225444,18.526823652900816,-5.979689606368657,1
0.54,0.06896133858757318,2.030494318543195,-0.6247633663820252,0.7304700292714277,4.07727477800549,-6.190415060986183,0.493246961124705,0.9323907401891404,18.499033910348075,-5.80284953315412,1
0.55,0.06311189782209252,2.037205357978957,-0.5849440765480657,0.6711039435761949,3.9819289833959526,-5.936608569523285,0.492889167770326,0.9261191670641286,18.442224297271732,-5.6257566650623545,1
0.56,0.0576500778689449,2.043348547446283,-0.5461819953147617,0.6143189467326043,3.8762081233303918,-5.678499684359055,0.49263081900114125,0.9203229337472258,18.35988452315861,-5.44920126977385,1
